rent_price,address,sqr_m,name_place,rei_price,maintenence_price,nearest_eki,apartment_type,year_built,ku_name,floor,house_type
10.8万円,東京都文京区根津２,39.8m2,東京都文京区根津２,10.8万円,10000円,"<div class=""cassetteitem_detail-text"">東京メトロ千代田線/根津駅 歩6分</div>",1DK,"
地下1地上12階建
","└ 千代田区(12,131)",築29年,賃貸マンション
13.2万円,東京都台東区東上野２,35.31m2,東京都台東区東上野２,13.2万円,8000円,"<div class=""cassetteitem_detail-text"">ＪＲ山手線/上野駅 歩9分</div>",1DK,"
14階建
","└ 千代田区(12,131)",築15年,賃貸マンション
10.9万円,東京都文京区水道１,31.5m2,東京都文京区水道１,10.9万円,7000円,"<div class=""cassetteitem_detail-text"">東京メトロ東西線/飯田橋駅 歩10分</div>",1K,"
7階建
","└ 千代田区(12,131)",築14年,賃貸マンション
13.7万円,東京都台東区元浅草１,34.63m2,東京都台東区元浅草１,13.7万円,8000円,"<div class=""cassetteitem_detail-text"">都営大江戸線/新御徒町駅 歩2分</div>",1LDK,"
地下1地上17階建
","└ 千代田区(12,131)",築13年,賃貸マンション
6.8万円,東京都荒川区西尾久２,24.3m2,東京都荒川区西尾久２,6.8万円,5000円,"<div class=""cassetteitem_detail-text"">ＪＲ高崎線/尾久駅 歩13分</div>",1DK,"
5階建
","└ 千代田区(12,131)",築32年,賃貸マンション
9.3万円,東京都豊島区要町１,30.02m2,東京都豊島区要町１,13.95万円,4000円,"<div class=""cassetteitem_detail-text"">東京メトロ有楽町線/要町駅 歩5分</div>",1DK,"3階建
","└ 千代田区(12,131)",築5年,賃貸アパート
9.3万円,東京都豊島区要町１,30.02m2,東京都豊島区要町１,13.95万円,4000円,"<div class=""cassetteitem_detail-text"">東京メトロ有楽町線/要町駅 歩5分</div>",1DK,"3階建
","└ 千代田区(12,131)",築5年,賃貸アパート
11.9万円,東京都中野区本町４,29.4m2,東京都中野区本町４,11.9万円,8000円,"<div class=""cassetteitem_detail-text"">東京メトロ丸ノ内線/新中野駅 歩1分</div>",1DK,"0階建
","└ 千代田区(12,131)",新築,賃貸マンション
8.2万円,東京都文京区千石４,29.8m2,東京都文京区千石４,8.2万円,3000円,"<div class=""cassetteitem_detail-text"">ＪＲ山手線/巣鴨駅 歩7分</div>",1LDK,"
4階建
","└ 千代田区(12,131)",築32年,賃貸マンション
10.9万円,東京都豊島区西池袋５,25.79m2,東京都豊島区西池袋５,10.9万円,8000円,"<div class=""cassetteitem_detail-text"">東京メトロ有楽町線/要町駅 歩4分</div>",1DK,"11階建
","└ 千代田区(12,131)",築2年,賃貸マンション
12.4万円,東京都渋谷区笹塚１,33.6m2,東京都渋谷区笹塚１,12.4万円,15000円,"<div class=""cassetteitem_detail-text"">京王線/笹塚駅 歩4分</div>",1K,"13階建
","└ 千代田区(12,131)",築2年,賃貸マンション
11万円,東京都荒川区西尾久１,52.32m2,東京都荒川区西尾久１,11万円,10000円,"<div class=""cassetteitem_detail-text"">ＪＲ山手線/田端駅 歩11分</div>",2DK,"
8階建
","└ 千代田区(12,131)",築29年,賃貸マンション
11.7万円,東京都杉並区高円寺北２,30.24m2,東京都杉並区高円寺北２,11.7万円,7000円,"<div class=""cassetteitem_detail-text"">ＪＲ総武線/高円寺駅 歩7分</div>",2K,"
4階建
","└ 千代田区(12,131)",築15年,賃貸マンション
13万円,東京都品川区小山４,35.55m2,東京都品川区小山４,13万円,8000円,"<div class=""cassetteitem_detail-text"">東急目黒線/武蔵小山駅 歩4分</div>",1DK,"9階建
","└ 千代田区(12,131)",築9年,賃貸マンション
7.5万円,東京都杉並区天沼２,20.61m2,東京都杉並区天沼２,-,10000円,"<div class=""cassetteitem_detail-text"">東京メトロ丸ノ内線/荻窪駅 歩5分</div>",1K,"
11階建
","└ 千代田区(12,131)",築17年,賃貸マンション
